Deposit Name,Longitude,Latitude,Commodity Group,State
A1,146.19970,-37.50510,Precious metals,VIC
Agate Creek,143.60200,-18.88400,Base metal,QLD
Agnew,120.50810,-28.00071,Precious metals,WA
Airly,150.01477,-33.09775,Coal,NSW
Anglo Saxon,122.73200,-30.07670,Precious metals,WA
Apollo ,121.78250,-31.39480,Precious metals,WA
Appin,150.79180,-34.20790,Coal,NSW
Argo,121.77810,-31.39480,Precious metals,WA
Argyle,128.38393,-16.71165,Diamond,WA
Ashton,151.06667,-32.46667,Coal,NSW
Augusta,144.80240,-36.89870,Precious metals,VIC
Austar,151.30462,-32.86686,Coal,NSW
Axehandle,119.39310,-31.31650,Precious metals,WA
Bald Hill,147.45530,-41.90250,Bauxite,TAS
Bald Hill,122.18115,-31.51333,Lithium,WA
Ballarat East,143.85970,-37.58970,Precious metals,VIC
Balmoral Central,116.14735,-21.07959,Iron ore,WA
Bamboo Creek,120.21170,-20.93070,Iron ore,WA
Baralaba,149.80324,-24.16486,Coal,QLD
Barbara,139.84898,-20.41682,Base metal,QLD
Batavia,118.42040,-26.66060,Precious metals,WA
Bauxite Hills,142.04488,-11.83479,Bauxite,QLD
Bengalla,150.84600,-32.27150,Coal,NSW
Beta Hunt,121.69392,-31.24026,Battery/Alloy metals,WA
Big Bell,117.65420,-27.32090,Precious metals,WA
Blackwater,148.80736,-23.68559,Coal,QLD
Blair Athol,147.52700,-22.69050,Coal,QLD
Bloomfield,151.56696,-32.79219,Coal,NSW
Bluebird,118.42510,-26.71620,Precious metals,WA
Boddington,116.35810,-32.75090,Base metal,WA
Boggabri,150.16334,-30.59041,Coal,NSW
Boonanarring,115.83464,-31.22368,Heavy mineral sands,WA
Bootu Creek,134.12584,-18.69976,Battery/Alloy metals,NT
Broadlea,148.18250,-21.92670,Coal,QLD
Broadmeadow,148.15245,-21.80761,Coal,QLD
Brockman 2,117.34386,-22.43810,Iron ore,WA
Brockman 4,117.17370,-22.61128,Iron ore,WA
Broken Hill,141.46500,-31.96650,Base metal,NSW
Browns Range,128.93981,-18.85948,Rare earth elements,WA
Bulga,151.10998,-32.68684,Coal,NSW
Byerwen,147.81000,-21.35000,Coal,QLD
Cadia East,149.01230,-33.46500,Base metal,NSW
Callide,150.62217,-24.31092,Coal,QLD
Callie,129.92490,-20.52660,Precious metals,NT
Callisto,118.28730,-27.08670,Precious metals,WA
Cameby Downs,150.28718,-26.57862,Coal,QLD
Cannington,140.91990,-21.86580,Base metal,QLD
Cannon,121.76290,-30.81610,Precious metals,WA
Capcoal,148.54994,-22.90412,Coal,QLD
Carborough Downs,148.20940,-21.95020,Coal,QLD
Carosue Dam,122.35000,-30.12000,Precious metals,WA
Carrapateena,137.49840,-31.21750,Base metal,SA
Caval Ridge,148.17199,-22.22146,Coal,QLD
Celebration,121.59030,-30.00590,Precious metals,WA
Centenary,121.28680,-27.88840,Precious metals,WA
Century,138.62385,-18.73952,Base metal,QLD
Chain Valley,151.55000,-33.16306,Coal,NSW
Channar JV,117.78859,-23.29938,Iron ore,WA
Cheriton's Find,119.65920,-31.83070,Precious metals,WA
Chesney,145.85780,-31.52122,Base metal,NSW
Christmas Island,105.65000,-10.49167,Fertiliser elements,IOT
Clarence,150.24393,-33.45648,Coal,NSW
Clermont,147.63077,-22.68922,Coal,QLD
Cliffs,120.55283,-27.31049,Battery/Alloy metals,WA
Cloncurry,140.74100,-20.75734,Precious metals,QLD
Cloudbreak,119.39639,-22.30278,Iron ore,WA
Christmas Creek,119.39639,-22.30278,Iron ore,WA
Cobar,145.79860,-31.40802,Base metal,NSW
Cock -Eyed Bob,122.17610,-31.08950,Precious metals,WA
Collinsville,147.76856,-20.56761,Coal,QLD
Comet Vale,121.13104,-29.95493,Precious metals,WA
Commodore,151.27905,-27.93027,Coal,QLD
Cooljarloo ,115.36068,-30.59331,Heavy mineral sands,WA
Coppabella,148.42719,-21.84455,Coal,QLD
Cornishman,119.36130,-31.27850,Precious metals,WA
Cornwall,148.13333,-41.55000,Coal,TAS
Cosmo Howley,131.37610,-13.53690,Precious metals,NT
Costerfield,144.80150,-36.89570,Precious metals,VIC
Cowal,147.40670,-33.63690,Precious metals,NSW
Cracow,150.27030,-25.28928,Precious metals,QLD
Curragh,148.85414,-23.46622,Coal,QLD
Daisy Milano,121.92240,-31.01330,Precious metals,WA
Dalgaranga,117.26530,-27.84617,Precious metals,WA
Darlot Project,121.26890,-27.88750,Precious metals,WA
Daunia,148.28855,-22.04399,Coal,QLD
Dawson,150.05924,-24.61683,Coal,QLD
Deep South,122.54790,-29.54590,Precious metals,WA
Deflector,116.37960,-28.66910,Base metal,WA
DeGrussa,119.32810,-25.54060,Base metal,WA
Dendrobium,150.76000,-34.38000,Coal,NSW
Dhupuma,136.82000,-12.38000,Bauxite,NT
Drake,147.81600,-20.70800,Coal,QLD
Dugald River,140.15580,-20.25450,Base metal,QLD
Duketon,122.35600,-27.90640,Precious metals,WA
East Kundana,121.23000,-30.72000,Iron ore,WA
Eastern Range,117.65722,-23.24099,Iron ore,WA
Edna May,118.69980,-31.29120,Precious metals,WA
Eloise,140.97989,-20.95485,Base metal,QLD
Endeavor,145.65380,-31.16292,Base metal,NSW
Ensham,148.49746,-23.45446,Coal,QLD
Ernest Henry,140.70281,-20.43983,Base metal,QLD
Ewington,116.25000,-33.36240,Coal,WA
Fairplay,121.72390,-31.74920,Precious metals,WA
Federal Flag,120.64750,-30.13620,Precious metals,WA
Firetail,117.76949,-22.12867,Iron ore,WA
Flying Fox,119.68899,-32.41846,Battery/Alloy metals,WA
Fortnum,118.36000,-25.33000,Precious metals,WA
Fosterville,144.50360,-36.71630,Precious metals,VIC
Four Mile,139.52917,-30.14167,Uranium,SA
Foxleigh,148.80389,-22.99778,Coal,QLD
Frog's Leg,121.27010,-30.76160,Precious metals,WA
Geko,120.90000,-30.86409,Precious metals,WA
George Fisher,139.47201,-20.57105,Base metal,QLD
Ginkgo,142.22598,-33.36441,Heavy mineral sands,NSW
Glendell,151.07755,-32.45119,Coal,NSW
Golden Age ,120.24600,-26.60180,Precious metals,WA
Golden Cities,121.39675,-30.40724,Precious metals,WA
Golden Eagle,120.12050,-21.96710,Precious metals,WA
Golden Eagle,120.65570,-30.04900,Precious metals,WA
Golden Gate,120.41690,-21.80833,Precious metals,WA
Golden Grove,116.98480,-28.76290,Base metal,WA
Goondicum,151.43386,-24.85565,Heavy mineral sands,QLD
Goonyella,147.96205,-21.79232,Coal,QLD
Gossan Hill,116.96260,-28.77720,Base metal,WA
Gove,136.83702,-12.26112,Bauxite,NT
Granite Belt,151.29045,-28.83055,Base metal,QLD
Granny Smith,122.42300,-28.81200,Precious metals,WA
Greenbushes,116.06683,-33.85585,Lithium,WA
Groote Eylandt,136.44555,-13.99216,Battery/Alloy metals,NT
Grosvenor,147.99273,-21.87317,Coal,QLD
Gruyere,123.87800,-28.01060,Precious metals,WA
Gwalia,121.33400,-28.91850,Precious metals,WA
Hail Creek,148.40681,-21.50538,Coal,QLD
Hamlet,121.81220,-31.40010,Precious metals,WA
Haoma,121.91890,-31.01190,Precious metals,WA
Hellyer,145.72210,-41.57460,Base metal,TAS
Hera,146.32590,-32.11070,Base metal,NSW
Hermes,118.90980,-25.58450,Precious metals,WA
Hey Point,141.89000,-12.73300,Bauxite,QLD
Higginsville,121.73770,-31.73030,Precious metals,WA
Homestead,121.22830,-30.54210,Precious metals,WA
Hope Downs 1,119.11216,-22.94839,Iron ore,WA
Hope Downs 4,119.57880,-23.14587,Iron ore,WA
Hunter Valley Operations,150.99200,-32.51040,Coal,NSW
Huntly,116.16650,-32.55580,Bauxite,WA
Perth Basin,115.30180,-29.85581,Heavy mineral sands,WA
Integra ,151.13498,-32.46884,Coal,NSW
Iron Hill ,117.17536,-29.60332,Iron ore,WA
Iron Valley,119.31710,-22.72010,Iron ore,WA
Isaac Plains,148.10800,-21.99200,Coal,QLD
Jacinth-Ambrosia,132.22867,-30.86113,Heavy mineral sands,SA
Jaguar,121.17000,-28.48390,Base metal,WA
Janet Ivy,121.38340,-30.77450,Precious metals,WA
Jaurdi,120.92500,-30.68871,Precious metals,WA
Jeebropilly,152.65936,-27.62302,Coal,QLD
Jellinbah ,148.95064,-23.40687,Coal,QLD
Jimblebar ,120.13906,-23.37926,Iron ore,WA
Jundee ,120.60410,-26.37250,Precious metals,WA
Kalgoorlie (Super Pit),121.50500,-30.77810,Precious metals,WA
Kanmantoo,139.00540,-35.09190,Base metal,SA
Kanowna Belle,121.57610,-30.61010,Precious metals,WA
Kara,145.77201,-41.31000,Iron ore,TAS
Karara,116.80050,-29.16019,Iron ore,WA
Karari,122.35950,-30.15950,Precious metals,WA
Kestrel,148.37031,-23.24197,Coal,QLD
Keysbrook,115.93880,-32.46423,Heavy mineral sands,WA
King of the Hills ,121.16300,-28.67150,Precious metals,WA
Kings,117.52170,-22.17611,Iron ore,WA
Kogan Creek,150.77263,-26.89572,Coal,QLD
Koolan Island,123.74018,-16.12754,Iron ore,WA
Koolyanobbing,119.53800,-30.83360,Iron ore,WA
Kundana,121.22969,-30.71242,Precious metals,WA
Lady Annie,139.04402,-19.77305,Base metal,QLD
Lady Loretta,139.07019,-19.76859,Base metal,QLD
Lake Vermont,148.43851,-22.39900,Coal,QLD
Liddell,150.99988,-32.39160,Coal,NSW
Lorena,140.64870,-20.71870,Precious metals,QLD
Loy Yang,146.56400,-38.23470,Coal,VIC
Maddingley,144.44016,-37.70429,Coal,VIC
Mandalong,151.44998,-33.12684,Coal,NSW
Mangoola,150.66999,-32.29684,Coal,NSW
Marandoo,118.13856,-22.63810,Iron ore,WA
Matilda,120.21490,-26.75750,Precious metals,WA
Maules Creek,150.15423,-30.54512,Coal,NSW
Maxwells  ,122.19890,-31.08090,Precious metals,WA
Maxwells - Inglewood,143.86800,-36.55200,Precious metals,VIC
McArthur River,136.09850,-16.43600,Base metal,NT
Meekatharra,118.51390,-26.59101,Precious metals,WA
Merlin,136.34511,-16.84795,Diamond,NT
Metropolitan,150.99657,-34.18491,Coal,NSW
Middleback Ranges ,137.15600,-32.99800,Iron ore,SA
Middlemount,148.63163,-22.84813,Coal,QLD
Millennium,148.21300,-22.02500,Coal,QLD
Mineral Hill,146.98700,-32.57700,Base metal,
Minerva,148.04714,-23.92138,Coal,QLD
Mining Area C ,118.96431,-22.92817,Iron ore,WA
Moolarben,149.78500,-32.29000,Coal,NSW
Moorvale,148.35358,-21.99552,Coal,QLD
Moranbah North,147.95674,-21.87133,Coal,QLD
Morning Star ,146.24560,-37.56860,Precious metals,VIC
Mount Arthur,150.85614,-32.33702,Coal,NSW
Mount Carbine,145.13188,-16.51830,Other metals ,QLD
